functionType,L2 DCM,L1 DCM,MatrixSize,BlockSize,Real Time,Threads
OnMult,2682775,245625950,600,N/A,0.191883,1
OnMult,1214530,246098194,600,N/A,0.158116,1
OnMult,1624979,246218231,600,N/A,0.156742,1
OnMult,2729505,245622221,600,N/A,0.167232,1
OnMult,2219931,246919772,600,N/A,0.164353,1
OnMult,13344803,1141451831,1000,N/A,1.000772,1
OnMult,13684027,1142291686,1000,N/A,0.988139,1
OnMult,22192769,1138176215,1000,N/A,1.102495,1
OnMult,15942305,1141601701,1000,N/A,1.039669,1
OnMult,16961813,1138933725,1000,N/A,1.048636,1
OnMult,344366774,3100243749,1400,N/A,3.469231,1
OnMult,344393860,3100239222,1400,N/A,3.391511,1
OnMult,346234103,3100575530,1400,N/A,3.462093,1
OnMult,342831571,3100094771,1400,N/A,3.390757,1
OnMult,343163693,3099996086,1400,N/A,3.384283,1
OnMult,731705513,6584217984,1800,N/A,7.124393,1
OnMult,734426819,6584407182,1800,N/A,7.191517,1
OnMult,735467818,6584772532,1800,N/A,7.180539,1
OnMult,733689205,6584410360,1800,N/A,7.090007,1
OnMult,735402085,6584119087,1800,N/A,7.157291,1
OnMult,1342994421,12012427145,2200,N/A,13.602869,1
OnMult,1340073319,12012791815,2200,N/A,13.620824,1
OnMult,1345577519,12013095406,2200,N/A,13.569393,1
OnMult,1341120467,12012663966,2200,N/A,13.610580,1
OnMult,1341654232,12012485057,2200,N/A,13.655203,1
OnMult,2247057307,19822345147,2600,N/A,21.430154,1
OnMult,2234829326,19821562401,2600,N/A,21.298641,1
OnMult,2238207577,19821379324,2600,N/A,21.261659,1
OnMult,2267166705,19822128012,2600,N/A,21.255461,1
OnMult,2235979256,19821552371,2600,N/A,21.295400,1
OnMult,3525610094,30439217495,3000,N/A,35.135748,1
OnMult,3531774765,30440146265,3000,N/A,35.307057,1
OnMult,3578241486,30439068527,3000,N/A,35.206322,1
OnMult,3526691657,30440663689,3000,N/A,35.091122,1
OnMult,3527248776,30439393728,3000,N/A,35.017707,1
OnMultLine,584585,27594428,600,N/A,0.078451,1
OnMultLine,684205,27652298,600,N/A,0.081834,1
OnMultLine,691609,27657742,600,N/A,0.078371,1
OnMultLine,687644,27657455,600,N/A,0.078768,1
OnMultLine,695518,27661101,600,N/A,0.078785,1
OnMultLine,3110412,128764535,1000,N/A,0.507228,1
OnMultLine,3148417,128772111,1000,N/A,0.512655,1
OnMultLine,3139201,128771909,1000,N/A,0.511190,1
OnMultLine,3162771,128783679,1000,N/A,0.519735,1
OnMultLine,3142753,128771256,1000,N/A,0.510890,1
OnMultLine,9047754,356802398,1400,N/A,1.382125,1
OnMultLine,8976350,356651492,1400,N/A,1.381433,1
OnMultLine,8931220,356891413,1400,N/A,1.389296,1
OnMultLine,9006797,356657047,1400,N/A,1.386679,1
OnMultLine,8971002,356903907,1400,N/A,1.384532,1
OnMultLine,20528421,771370918,1800,N/A,2.906559,1
OnMultLine,20539906,770596687,1800,N/A,2.917169,1
OnMultLine,20591708,770211514,1800,N/A,2.923439,1
OnMultLine,20566749,770130478,1800,N/A,2.915976,1
OnMultLine,20544385,770408658,1800,N/A,2.925565,1
OnMultLine,23130724,2152896567,2200,N/A,5.284454,1
OnMultLine,23041144,2150461409,2200,N/A,5.169557,1
OnMultLine,23074299,2150741723,2200,N/A,5.158887,1
OnMultLine,23052283,2150380527,2200,N/A,5.163330,1
OnMultLine,23088578,2150980129,2200,N/A,5.162025,1
OnMultLine,38006238,4455125833,2600,N/A,8.506061,1
OnMultLine,37931826,4454484297,2600,N/A,8.494721,1
OnMultLine,37962543,4455099754,2600,N/A,8.496658,1
OnMultLine,37925481,4454672423,2600,N/A,8.491354,1
OnMultLine,37956255,4455066970,2600,N/A,8.498727,1
OnMultLine,56053520,6834183238,3000,N/A,13.059268,1
OnMultLine,56106586,6833407173,3000,N/A,12.992665,1
OnMultLine,56045444,6833191099,3000,N/A,13.026634,1
OnMultLine,56033103,6833281870,3000,N/A,13.021490,1
